iter	RMSE
654	3.603938413
655	3.60337983
656	3.601070729
657	3.600764989
658	3.594792766
659	3.594776149
660	3.592611321
661	3.592168825
662	3.590445941
663	3.589404245
664	3.587246559
665	3.585007895
666	3.583505292
667	3.581840945
668	3.581772547
669	3.578910385
670	3.576746388
671	3.573160035
672	3.571125921
673	3.569567949
674	3.565251661
675	3.563249007
676	3.562277356
677	3.560556661
678	3.559529956
679	3.558211825
680	3.557716993
681	3.555783439
682	3.554214401
683	3.553611769
684	3.551726593
685	3.550192496
686	3.549550193
687	3.548609413
688	3.54620007
689	3.545029444
690	3.543523624
691	3.540908976
692	3.537918186
693	3.535561398
694	3.533579992
695	3.531190478
696	3.529239316
697	3.5271632
698	3.525260034
699	3.524344586
700	3.521575761
701	3.519365982
702	3.517568039
703	3.514281448
704	3.513148967
705	3.512360473
706	3.507927384
707	3.506536587
708	3.505697848
709	3.502817603
710	3.500299747
711	3.499003888
712	3.497831005
713	3.497130485
714	3.493135176
715	3.489134469
716	3.486211703
717	3.485549704
718	3.485097468
719	3.483781264
720	3.483197293
721	3.479784496
722	3.479691067
723	3.477268175
724	3.477171942
725	3.475111766
726	3.473839744
727	3.472915728
728	3.47047839
729	3.467890044
730	3.465710906
731	3.46473226
732	3.463536172
733	3.463468952
734	3.460459146
735	3.457693475
736	3.453692283
737	3.452457286
738	3.451034606
739	3.448755781
740	3.448738739
741	3.446823722
742	3.445975775
743	3.445913496
744	3.445245328
745	3.443521787
746	3.441679736
747	3.440465484
748	3.439729183
749	3.43865242
750	3.436549107
751	3.435475959
752	3.432603789
753	3.431676852
754	3.430959442
755	3.426963208
756	3.426881007
757	3.425027692
758	3.424417042
759	3.42181162
760	3.41818224
761	3.41651905
762	3.415308474
763	3.413702844
764	3.412301142
765	3.41068964
766	3.407315835
767	3.405151887
768	3.402818596
769	3.401141397
770	3.400691808
771	3.399896685
772	3.397202809
773	3.395786811
774	3.394328484
775	3.392176559
776	3.388628261
777	3.385500691
778	3.384256495
779	3.383231185
780	3.382294926
781	3.380138458
782	3.378394473
783	3.376824435
784	3.374596022
785	3.373305476
786	3.372029139
787	3.369342648
788	3.365573792
789	3.363930558
790	3.363303046
791	3.360612418
792	3.358699139
793	3.357934359
794	3.354331938
795	3.352540028
796	3.351795448
797	3.349316143
798	3.349250774
799	3.349169137
800	3.348282368
801	3.348111563
802	3.348070407
803	3.347985047
804	3.346621585
805	3.345871497
806	3.343470411
807	3.341919753
808	3.340541657
809	3.340481264
810	3.339174843
811	3.33514972
812	3.334604192
813	3.332733142
814	3.332228133
815	3.332109541
816	3.329436388
817	3.327333535
818	3.32429972
819	3.322755814
820	3.320676524
821	3.320357248
822	3.320289247
823	3.320144826
824	3.318992285
825	3.318530636
826	3.317368493
827	3.316253104
828	3.311370275
829	3.311313288
830	3.308675248
831	3.308595522
832	3.306783474
833	3.306699788
834	3.304629745
835	3.303625265
836	3.301326604
837	3.29956946
838	3.297725927
839	3.297671952
840	3.29668943
841	3.291832445
842	3.288800309
843	3.28726114
844	3.287198342
845	3.286277686
846	3.285661095
847	3.282511042
848	3.282035112
849	3.279408986
850	3.278163588
851	3.277594158
852	3.277521108
853	3.276928024
854	3.273907606
855	3.273230755
856	3.272300948
857	3.271215269
858	3.26892173
859	3.267835403
860	3.266316094
861	3.265046937
862	3.263122602
863	3.261936628
864	3.26128877
865	3.259044058
866	3.258049239
867	3.257233257
868	3.256188112
869	3.254247792
870	3.250419925
871	3.247612943
872	3.246049072
873	3.245141772
874	3.243482047
875	3.242561671
876	3.241773854
877	3.240584293
878	3.238756554
879	3.238523309
880	3.234090783
881	3.233999363
882	3.233172153
883	3.232343385
884	3.230587602
885	3.229693096
886	3.226102617
887	3.225410675
888	3.223088882
889	3.221718876
890	3.220028845
891	3.21981476
892	3.216952678
893	3.215659961
894	3.21418893
895	3.211686016
896	3.209527869
897	3.206988419
898	3.206093039
899	3.203687025
900	3.201277403
901	3.200404059
902	3.197572284
903	3.196193504
904	3.196114138
905	3.195351931
906	3.192008127
907	3.189131587
908	3.18813732
909	3.185889167
910	3.183813247
911	3.183239044
912	3.181796412
913	3.18086161
914	3.1801746
915	3.177463465
916	3.176237565
917	3.174886368
918	3.173747121
919	3.172731104
920	3.171531051
921	3.170922839
922	3.168620788
923	3.168481271
924	3.165902994
925	3.165853977
926	3.165717762
927	3.163913939
928	3.160279709
929	3.159460698
930	3.157669108
931	3.157072171
932	3.157011903
933	3.154946618
934	3.154576498
935	3.153556384
936	3.150264357
937	3.146681872
938	3.145253482
939	3.142268583
940	3.141776407
941	3.141540864
942	3.139770984
943	3.137550061
944	3.136813268
945	3.136374805
946	3.136159662
947	3.13378532
948	3.133208705
949	3.132361535
950	3.129518414
951	3.12880313
952	3.127200521
953	3.126731636
954	3.12444582
955	3.123773669
956	3.122351495
957	3.122288601
958	3.121360895
959	3.121321304
960	3.121139924
961	3.119563702
962	3.118901304
963	3.116815135
964	3.114477753
965	3.112578604
966	3.110702447
967	3.108660953
968	3.108599846
969	3.107450228
970	3.106491614
971	3.105918798
972	3.102966947
973	3.101612785
974	3.10132519
975	3.099607643
976	3.096223174
977	3.094894722
978	3.091560673
979	3.091024711
980	3.0903876
981	3.086611819
982	3.084910699
983	3.084145626
984	3.083498642
985	3.082240673
986	3.082166896
987	3.081678133
988	3.080309697
989	3.078736149
990	3.077379538
991	3.076555645
992	3.073355134
993	3.072821601
994	3.071730748
995	3.071165057
996	3.071127666
997	3.068847954
998	3.067214021
999	3.065907123
